county,year,commission
Adair County,2007,18909.24
Allen County,2007,58898.67
Ballard County,2007,2032.63
Barren County,2007,17398.94
Bell County,2007,12302.45
Boone County,2007,218812.35
Bourbon County,2007,12769.55
Boyd County,2007,76085.77
Boyle County,2007,71730.32
Bullitt County,2007,37614.68
Butler County,2007,7285.97
Caldwell County,2007,9277.45
Calloway County,2007,45678.1
Campbell County,2007,180874.64
Carroll County,2007,58642.88
Carter County,2007,142478.95
Casey County,2007,83104.4
Christian County,2007,240714.38
Clay County,2007,63298.53
Clinton County,2007,2827
Crittenden County,2007,3270.37
Daviess County,2007,193886.25
Estill County,2007,4595.5
Floyd County,2007,34434.14
Franklin County,2007,137013.48
Fulton County,2007,34230.14
Grant County,2007,167441.54
Graves County,2007,
Grayson County,2007,331903.71
Greenup County,2007,
Hardin County,2007,164224.67
Harlan County,2007,46498.55
Hart County,2007,48338.25
Henderson County,2007,276592.76
Hickman County,2007,15783.67
Hopkins County,2007,111400.83
Jessamine County,2007,
Kenton County,2007,254323.61
Knox County,2007,
Larue County,2007,31101.81
Leslie County,2007,
Letcher County,2007,18492.56
Lewis County,2007,26254.01
Lincoln County,2007,8018.62
Logan County,2007,40999.44
Madison County,2007,
Magoffin County,2007,2279
Marion County,2007,85004.39
Marshall County,2007,28435.81
Mason County,2007,56110.98
McCracken County,2007,316946.25
McCreary County,2007,
Meade County,2007,39884.66
Monroe County,2007,3935.68
Montgomery County,2007,37374.32
Muhlenberg County,2007,43815.45
Nelson County,2007,12704.82
Nicholas County,2007,6023.38
Ohio County,2007,18550.71
Oldham County,2007,31303.86
Powell County,2007,36209.9
Pulaski County,2007,70280.04
Rockcastle County,2007,
Rowan County,2007,23271.46
Russell County,2007,5498
Scott County,2007,19373.63
Shelby County,2007,51528.46
Simpson County,2007,65453.21
Taylor County,2007,
Todd County,2007,
Union County,2007,7845.96
Warren County,2007,344592.75
Wayne County,2007,35055.36
Webster County,2007,69195.06
Whitley County,2007,45436.72
Woodford County,2007,42642.74
Statewide,2007,4980720.72
Adair County,2008,45065.22
Allen County,2008,64972.02
Ballard County,2008,4196.38
Barren County,2008,17351.91
Bell County,2008,11110.58
Boone County,2008,251529.36
Bourbon County,2008,32754.47
Boyd County,2008,115626.54
Boyle County,2008,114011.12
Bullitt County,2008,33860.36
Butler County,2008,7375.75
Caldwell County,2008,11017.27
Calloway County,2008,39612.16
Campbell County,2008,333524.05
Carroll County,2008,61101.79
Carter County,2008,125248.25
Casey County,2008,119869.37
Christian County,2008,317334.73
Clay County,2008,92080.45
Clinton County,2008,3808.23
Crittenden County,2008,2556.28
Daviess County,2008,180875.52
Estill County,2008,3458.9
Floyd County,2008,43863.67
Franklin County,2008,144532.92
Fulton County,2008,80718.37
Grant County,2008,146511.66
Graves County,2008,
Grayson County,2008,339301.54
Greenup County,2008,
Hardin County,2008,180630.34
Harlan County,2008,91730.37
Hart County,2008,31329.84
Henderson County,2008,289023.13
Hickman County,2008,14654.8
Hopkins County,2008,138864.21
Jessamine County,2008,
Kenton County,2008,300454.59
Knox County,2008,4205.39
Larue County,2008,49097.85
Leslie County,2008,12020.78
Letcher County,2008,18985.84
Lewis County,2008,18526.32
Lincoln County,2008,6780.33
Logan County,2008,41353.41
Madison County,2008,
Magoffin County,2008,2120.86
Marion County,2008,91211.48
Marshall County,2008,34950.75
Mason County,2008,83622.82
McCracken County,2008,383195.49
McCreary County,2008,
Meade County,2008,39285.36
Monroe County,2008,6554.56
Montgomery County,2008,36460.86
Muhlenberg County,2008,118486.42
Nelson County,2008,16158.19
Nicholas County,2008,
Ohio County,2008,18017.49
Oldham County,2008,-56472.99
Powell County,2008,73037.23
Pulaski County,2008,108473.17
Rockcastle County,2008,
Rowan County,2008,29353.96
Russell County,2008,3836.89
Scott County,2008,14494.33
Shelby County,2008,113027.97
Simpson County,2008,73804.68
Taylor County,2008,
Todd County,2008,23487.15
Union County,2008,9236.71
Warren County,2008,410037.71
Wayne County,2008,35282.65
Webster County,2008,14474.79
Whitley County,2008,53092.65
Woodford County,2008,36908.75
Statewide,2008,5999405.16
Adair County,2009,51437.61
Allen County,2009,51574.56
Ballard County,2009,
Barren County,2009,14568.57
Bell County,2009,10062.37
Boone County,2009,168368.05
Bourbon County,2009,18058.9
Boyd County,2009,112367.76
Boyle County,2009,102246.26
Bullitt County,2009,20025.54
Butler County,2009,3810.74
Caldwell County,2009,12605.84
Calloway County,2009,31366.34
Campbell County,2009,
Carroll County,2009,55186.58
Carter County,2009,120321.52
Casey County,2009,109065.45
Christian County,2009,235943.48
Clay County,2009,59199.04
Clinton County,2009,2889.71
Crittenden County,2009,
Daviess County,2009,208398.41
Estill County,2009,
Floyd County,2009,45947.52
Franklin County,2009,157447
Fulton County,2009,71856.37
Grant County,2009,103026.59
Graves County,2009,55123.01
Grayson County,2009,292829.46
Greenup County,2009,21138.08
Hardin County,2009,223826.48
Harlan County,2009,104206.98
Hart County,2009,27981.47
Henderson County,2009,291650.22
Hickman County,2009,12688.79
Hopkins County,2009,118791.04
Jessamine County,2009,28025.54
Kenton County,2009,306255.12
Knox County,2009,30963.36
Larue County,2009,47738.82
Leslie County,2009,
Letcher County,2009,21627.43
Lewis County,2009,21884.96
Lincoln County,2009,79951.76
Logan County,2009,44505.88
Madison County,2009,
Magoffin County,2009,1805.67
Marion County,2009,81980.48
Marshall County,2009,42946.74
Mason County,2009,89018.03
McCracken County,2009,359417.43
McCreary County,2009,24725.6
Meade County,2009,33308.76
Monroe County,2009,2091
Montgomery County,2009,29523.69
Muhlenberg County,2009,132494.41
Nelson County,2009,24299.61
Nicholas County,2009,
Ohio County,2009,17307.98
Oldham County,2009,74282.87
Powell County,2009,56108.79
Pulaski County,2009,98884.54
Rockcastle County,2009,17211.63
Rowan County,2009,24177.9
Russell County,2009,3912.54
Scott County,2009,9462.4
Shelby County,2009,123968.38
Simpson County,2009,52437.1
Taylor County,2009,87899.47
Todd County,2009,37635.53
Union County,2009,6004.54
Warren County,2009,317602.63
Wayne County,2009,37970.1
Webster County,2009,11759.65
Whitley County,2009,47176.05
Woodford County,2009,41282.85
Statewide,2009,5381658.98
Adair County,2010,53700.64
Allen County,2010,49219.88
Ballard County,2010,9175.14
Barren County,2010,
Bell County,2010,16484.65
Boone County,2010,184559.51
Bourbon County,2010,19642.9
Boyd County,2010,86695.12
Boyle County,2010,103428.19
Bullitt County,2010,62229.59
Butler County,2010,16500.59
Caldwell County,2010,13213.7
Calloway County,2010,37337.05
Campbell County,2010,
Carroll County,2010,51970.45
Carter County,2010,166128.17
Casey County,2010,74592.73
Christian County,2010,247862.41
Clay County,2010,55231.03
Clinton County,2010,6576.93
Crittenden County,2010,
Daviess County,2010,275538.37
Estill County,2010,
Floyd County,2010,39556.77
Franklin County,2010,127292.72
Fulton County,2010,32327.1
Grant County,2010,94195.01
Graves County,2010,54246.53
Grayson County,2010,415619.54
Greenup County,2010,
Hardin County,2010,229963.07
Harlan County,2010,107222.9
Hart County,2010,30163.55
Henderson County,2010,441938.62
Hickman County,2010,11912.65
Hopkins County,2010,115506.03
Jessamine County,2010,12850.93
Kenton County,2010,348489.72
Knox County,2010,39301.57
Larue County,2010,28003.8
Leslie County,2010,38475.11
Letcher County,2010,9908.78
Lewis County,2010,22913.28
Lincoln County,2010,60953.28
Logan County,2010,39629.53
Madison County,2010,
Magoffin County,2010,1541.81
Marion County,2010,78824.88
Marshall County,2010,37886.99
Mason County,2010,94014.67
McCracken County,2010,311764.22
McCreary County,2010,
Meade County,2010,42233.67
Monroe County,2010,8465.6
Montgomery County,2010,27268.26
Muhlenberg County,2010,142329.67
Nelson County,2010,17734.54
Nicholas County,2010,
Ohio County,2010,12403.54
Oldham County,2010,75808.66
Powell County,2010,48719.32
Pulaski County,2010,85060.83
Rockcastle County,2010,14598.44
Rowan County,2010,23632.42
Russell County,2010,6796.15
Scott County,2010,12813.93
Shelby County,2010,104012.99
Simpson County,2010,65624.65
Taylor County,2010,64544.82
Todd County,2010,63032.54
Union County,2010,10874.88
Warren County,2010,302840.94
Wayne County,2010,32242.64
Webster County,2010,22314.35
Whitley County,2010,48918.31
Woodford County,2010,29507.55
Statewide,2010,5616368.81
Adair County,2011,61232.45
Allen County,2011,31647.34
Ballard County,2011,16552.54
Barren County,2011,14025.22
Bell County,2011,14142.87
Boone County,2011,179944.41
Bourbon County,2011,797.19
Boyd County,2011,154002.71
Boyle County,2011,104227.85
Bullitt County,2011,75164.81
Butler County,2011,17754.29
Caldwell County,2011,8504.91
Calloway County,2011,38186
Campbell County,2011,309280.95
Carroll County,2011,115785.02
Carter County,2011,114804.77
Casey County,2011,89249.45
Christian County,2011,257668.33
Clay County,2011,46011.78
Clinton County,2011,4585.07
Crittenden County,2011,
Daviess County,2011,271534.95
Estill County,2011,687.56
Floyd County,2011,29060.69
Franklin County,2011,116865.77
Fulton County,2011,31337.91
Grant County,2011,100222.66
Graves County,2011,52582.82
Grayson County,2011,252367.82
Greenup County,2011,2334.59
Hardin County,2011,238430.46
Harlan County,2011,87568.13
Hart County,2011,42136.19
Henderson County,2011,374684.19
Hickman County,2011,17428.64
Hopkins County,2011,108847.03
Jessamine County,2011,17582.22
Kenton County,2011,300888.97
Knox County,2011,34182.75
Larue County,2011,39639.39
Leslie County,2011,47379.86
Letcher County,2011,14155.77
Lewis County,2011,28984.6
Lincoln County,2011,55993.07
Logan County,2011,38612
Madison County,2011,
Magoffin County,2011,1334.72
Marion County,2011,159918.95
Marshall County,2011,38554.51
Mason County,2011,104339.39
McCracken County,2011,323530.51
